City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,East London,ZA,-33.0153,27.9116,53.82,55,76,9.8,broken clouds
80,Srednekolymsk,RU,67.45,153.6833,65.73,19,9,9.66,clear sky
81,Bluff,NZ,-46.6,168.3333,46.8,65,13,1.72,few clouds
82,Santa Luzia,BR,-19.7697,-43.8514,56.21,77,0,4.12,clear sky
83,Sabha,LY,27.0377,14.4283,75.58,28,0,9.78,clear sky
84,Miri,MY,4.4148,114.0089,84.16,71,93,3.91,overcast clouds
85,Qui Nhon,VN,13.7667,109.2333,87.55,62,70,7.63,broken clouds
86,Kahului,US,20.8947,-156.47,84.97,78,82,5.99,broken clouds
87,Provideniya,RU,64.3833,-173.3,44.71,81,20,11.18,few clouds
88,Caravelas,BR,-17.7125,-39.2481,68.59,77,0,4.61,clear sky
89,Tabou,CI,4.423,-7.3528,75.79,90,100,9.55,moderate rain
90,Gat,IL,31.61,34.7642,76.82,100,0,4.94,clear sky
91,Skagen,DK,57.7209,10.5839,58.75,86,27,18.3,scattered clouds
92,Metkovic,HR,43.0542,17.6483,67.8,66,55,3.6,broken clouds
93,Ust-Tsilma,RU,65.441,52.1498,60.51,77,100,5.28,overcast clouds
94,Hay River,CA,60.8156,-115.7999,51.91,59,19,6.69,few clouds
95,Hamilton,US,39.1834,-84.5333,84.83,79,18,5.68,few clouds
96,Ancud,CL,-41.8697,-73.8203,42.22,74,9,8.21,clear sky
97,Ojinaga,MX,29.5667,-104.4167,97.75,30,0,14.97,clear sky
98,Norman Wells,CA,65.282,-126.8329,65.39,31,34,6.67,scattered clouds
99,Toora-Khem,RU,52.4675,96.11,64.06,43,100,4.52,overcast clouds
100,Kandrian,PG,-6.2167,149.55,83.79,71,87,3.4,light rain
101,Cockburn Town,TC,21.4612,-71.1419,81.3,81,94,15.41,overcast clouds
102,Cidreira,BR,-30.1811,-50.2056,62.17,84,100,10.85,overcast clouds
103,Tual,ID,-5.6667,132.75,82.49,76,21,16.51,few clouds
104,Broken Hill,AU,-31.95,141.4333,58.33,45,61,7.85,broken clouds
105,Kavieng,PG,-2.5744,150.7967,84.51,69,29,14.14,scattered clouds
106,Katsuura,JP,35.1333,140.3,74.77,85,100,15.79,light rain
107,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.4,72,0,5.75,clear sky
108,Urambo,TZ,-5.0667,32.05,69.24,50,85,6.11,overcast clouds
109,College Place,US,46.0493,-118.3883,73.38,57,0,4.61,clear sky
110,Port Alfred,ZA,-33.5906,26.891,54.0,60,44,12.24,scattered clouds
111,Port Elizabeth,ZA,-33.918,25.5701,51.1,75,77,1.01,broken clouds
112,Narsaq,GL,60.9167,-46.05,43.02,74,100,2.08,overcast clouds
113,Kodiak,US,57.79,-152.4072,53.1,77,96,11.32,overcast clouds
114,Abu Dhabi,AE,24.4667,54.3667,87.82,77,0,5.75,clear sky
115,Marystown,CA,47.1666,-55.1483,55.85,100,31,7.78,scattered clouds
116,Cape Town,ZA,-33.9258,18.4232,59.92,49,0,10.36,clear sky
117,Bengkulu,ID,-3.8004,102.2655,81.18,72,100,2.3,overcast clouds
118,San Policarpo,PH,12.1791,125.5072,84.24,74,42,6.55,scattered clouds
119,Vila Velha,BR,-20.3297,-40.2925,67.95,89,75,2.3,broken clouds
120,Mahebourg,MU,-20.4081,57.7,70.25,94,20,5.75,few clouds
121,Gorele,TR,41.0308,39.0031,65.37,89,26,4.14,scattered clouds
122,Dikson,RU,73.5069,80.5464,32.25,93,100,10.02,overcast clouds
123,Puerto Madryn,AR,-42.7692,-65.0385,49.33,46,91,34.81,overcast clouds
124,Tsabong,BW,-26.0217,22.401,47.57,34,2,10.98,clear sky
125,Grand Gaube,MU,-20.0064,57.6608,70.38,77,1,12.15,clear sky
126,Tambura,SS,5.6,27.4667,67.84,93,3,2.48,clear sky
127,Nishihara,JP,26.1842,127.7558,81.68,89,75,17.27,light rain
